ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Blank,Retouch,AxisCoincident,TypologicalAxisLength,TechnologicalAxisLength,TypologicalAxisWidth,TechnologicalAxisWidth,Thickness,Cortex,ButtType,Profile,CrossSection,SideSection,BlankShape,DorsalScars,Fire
Noid6,G25,5,Solutrean,Chert,3,FlakeFragment,No,No,22.12,NA,17.19,17.19,5.39,No_Cortex,Absent,Straight,Triangular,Trapezoidal,Parallel,Non_Identifiable,No_Traces
1465,H24,4,Solutrean,Chert,2,FlakeFragment,No,No,26.11,NA,14.71,NA,4.52,<25%,Absent,Straight,Triangular,Trapezoidal,Irregular,Non_Identifiable,No_Traces
702,G22,5,Solutrean,Chert,3,CompleteFlake,No,No,25.91,NA,38.2,NA,12.71,No_Cortex,Absent,Straight,Other,Irregular,Irregular,Non_Identifiable,No_Traces
Noid7,G25,18,Gravettian,Chert,3,Non_identifiable,No,NA,17.37,NA,15.92,NA,4.31,No_Cortex,Absent,Straight,Triangular,Elliptical,Parallel,Non_Identifiable,No_Traces
2789,ZZ25,7,Solutrean,Chert,2,Non_identifiable,No,NA,19.33,NA,16.65,NA,8.31,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
1934,G24,12,Gravettian,Chert,4_or_more,FlakeFragment,No,No,36.24,NA,24.23,24.23,5.05,No_Cortex,Absent,Curved,Rectangular,Trapezoidal,Irregular,Non_Identifiable,Burnt
1704,ZZ25,6,Solutrean,Chert,2,Non_identifiable,No,NA,22.83,NA,14.58,14.58,4.96,No_Cortex,Flat,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
3258,ZZ27,8,Gravettian,Chert,2,FlakeFragment,No,Yes,25.07,NA,20.7,NA,7.56,50-95%,Absent,Straight,Trapezoidal,Semi_Circular,Parallel,Non_Identifiable,No_Traces
2681,G24,17,Gravettian,Chert,3,FlakeFragment,No,No,23.65,NA,17.22,17.22,5.81,No_Cortex,Flat,Curved,Trapezoidal,Trapezoidal,Irregular,Bidirectional-Parallel,No_Traces
2352,ZZ25,7,Solutrean,Chert,3,FlakeFragment,No,No,22.13,NA,17.67,NA,5.35,No_Cortex,Absent,Straight,Triangular,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid26,G25,2,Magdalenian,Chert,2,Non_identifiable,No,NA,18.63,NA,18.46,NA,7.33,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
