ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
2465,H24,6,Solutrean,Chert,2,15.37,1,Medium,Half_Moon,Central,Isolated,6.76,6.76,Marginal,Unifacial,Irregular,Platform,10.92,2,Low,Triangular,Central,Isolated,5.85,5.8,Marginal,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,Z,25,Gravettian,Quartz,2,4.95,1,Low,Triangular,Central,Isolated,4.4,4.4,Marginal,Unifacial,Pointed,>45,14.73,2,High,Irregular,Total,Aligned,6.96,6.96,Mixed,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1561,G24,10,Proto-Solutrean,Chert,2,7.49,2,Low,Semi_Circular,Lateral_Central,Overlapped,6.91,6.9,Invasive,Unifacial,Straight,>45,8.91,5,High,Mixed,Total,Aligned_Overlapped,8.17,2.52,Marginal,Bifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3198,H24,8,Solutrean,Chert,4_or_more,24.4,7,High,Mixed,Total,Aligned_Overlapped,7.85,4.7,Mixed_Invasive,Bifacial,Straight,<45,26.76,6,Medium,Half_Moon,Total,Aligned_Overlapped,6.98,5.06,Mixed_Marginal,Unifacial,Straight,>45,20.08,8,High,Mixed,Total,Aligned_Overlapped,10.70,3.40,Mixed_Invasive,Bifacial,Straight,<45,22.97,5,Medium,Semi_Circular,Total,Aligned_Overlapped,11.78,4.31,Invasive,Bifacial,Straight,<45
1526,H23,8,Solutrean,Quartz,2,15.44,2,Low,Irregular,Central,Aligned,2.28,1.69,Marginal,Unifacial,Straight,<45,11.02,1,Low,Semi_Circular,Central,Isolated,7.28,7.28,Invasive,Unifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2609,H23,13,Gravettian,Chert,2,22.5,6,Medium,Mixed,Total,Aligned_Overlapped,24.39,10.74,Invasive,Bifacial,Oblique,>45,20.93,4,High,Half_Moon,Total,Aligned,10.02,4.98,Mixed_Marginal,Bifacial,Oblique,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165,ZZ,4,Solutrean,Chert,2,17.59,3,Medium,Half_Moon,Central,Aligned,2.3,2.3,Marginal,Bifacial,Straight,>45,21.97,2,Medium,Triangular,Lateral_Central,Aligned,3.43,3.43,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2879,G24,18,Gravettian,Chert,2,13.96,3,Low,Semi_Circular,Total,Overlapped,15.82,10.94,Invasive,Unifacial,Straight,>45,15.61,4,High,Mixed,Total,Aligned,6.47,6.43,Mixed_Invasive,Bifacial,Oblique,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1582,H22,10,Proto-Solutrean,Quartz,2,17.9,4,Low,Semi_Circular,Total,Aligned,9.8,3.2,Mixed_Marginal,Unifacial,Straight,>45,9.47,2,Low,Irregular,Central,Isolated,6.58,6.58,Marginal,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3726,H24,9,Proto-Solutrean,Chert,2,10.78,2,Medium,Half_Moon,Central,Isolated,5.83,5.8,Marginal,Bifacial,Concave,>45,6.85,1,Low,Quadrangular,Central,Isolated,2.38,2.38,Marginal,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
