ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
2547,G24,17,Gravettian,Chert,2,11.69,10,High,Half_Moon,Central,Overlapped,3.77,3.65,Marginal,Unifacial,Concave,>45,15.62,3,Medium,Semi_Circular,Lateral_Central,Overlapped,7.64,5.37,Mixed,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,G24,11,Gravettian,Quartz,2,8.65,3,Low,Irregular,Total,Aligned,2.17,2.14,Marginal,Bifacial,Straight,>45,10.52,4,Medium,Half_Moon,Total,Aligned,4.29,2.73,Marginal,Bifacial,Straight,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,G24,4,Solutrean,Chert,2,19.84,11,Low,Semi_Circular,Lateral_Central,Overlapped,7.89,4.13,Mixed_Marginal,Bifacial,Oblique,<45,18.27,5,Medium,Trapezoidal,Lateral_Central,Overlapped,8.41,5.36,Invasive,Unifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1594,G24,10,Proto-Solutrean,Chert,2,13.16,3,Medium,Semi_Circular,Total,Aligned_Overlapped,6.99,6.97,Invasive,Unifacial,Pointed,<45,19.85,3,Medium,Half_Moon,Total,Aligned,6.88,5.3,Mixed_Invasive,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,G24,4,Solutrean,Chert,2,12.43,9,High,Semi_Circular,Total,Overlapped,12.44,6.27,Invasive,Bifacial,Oblique,<45,15.25,3,Low,Mixed,Lateral_Central,Isolated_Overlapped,6.94,6.9,Invasive,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid35,G25,2,Magdalenian,Chert,3,13.48,4,Low,Semi_Circular,Central,Aligned,3.97,2.09,Marginal,Bifacial,Concave,>45,17.73,9,Medium,Semi_Circular,Total,Aligned,7.78,2.82,Marginal,Bifacial,Straight,>45,15.58,4,Medium,Semi_Circular,Total,Aligned,4.52,2.48,Marginal,Bifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,H24,6,Solutrean,Quartz,2,7.53,2,Medium,Irregular,Central,Isolated,2.74,2.73,Marginal,Unifacial,Concave,Platform,10.5,1,Low,Irregular,Lateral_Central,Isolated,2.6,2.6,Marginal,Unifacial,Straight,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,G23,5,Solutrean,Chert,2,13.78,3,Medium,Half_Moon,Total,Overlapped,4.84,4.84,Marginal,Unifacial,Concave,Platform,20.78,10,High,Half_Moon,Total,Aligned_Overlapped,8.36,5.15,Mixed_Invasive,Unifacial,Convex,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,H24,27,Gravettian,Quartz,2,15.03,1,High,Semi_Circular,Lateral_Central,Isolated,8.81,8.81,Invasive,Unifacial,Pointed,>45,22.98,2,Medium,Semi_Circular,Lateral_Central,Isolated,10.7,10.7,Invasive,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid37,G25,8,Solutrean,Chert,2,10.78,1,Low,Semi_Circular,Central,Isolated,6.53,6.53,Invasive,Unifacial,Straight,<45,10.32,3,Low,Half_Moon,Lateral_Central,Aligned,2.82,2.81,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid39,G25,8,Solutrean,Chert,2,12.48,6,Medium,Half_Moon,Central,Aligned,3.23,2.54,Marginal,Bifacial,Straight,>45,10.86,4,Medium,Mixed,Total,Aligned,3.46,3.44,Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid23,G25,6,Solutrean,Chert,2,12.74,15,High,Half_Moon,Central,Overlapped,10.8,3.56,Mixed_Marginal,Bifacial,Concave,Platform,6.31,1,Low,Quadrangular,Central,Isolated,9,9,Invasive,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid47,G25,5,Solutrean,Chert,2,20.88,1,Low,Semi_Circular,Central,Isolated,6.01,6.01,Invasive,Unifacial,Irregular,Platform,23.47,10,Medium,Half_Moon,Total,Aligned,7.4,2.96,Marginal,Bifacial,Convex,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid48,G25,5,Solutrean,Chert,2,15.68,5,High,Mixed,Total,Aligned,10.3,6.82,Invasive,Bifacial,Pointed,Platform,15.17,4,Medium,Semi_Circular,Total,Aligned,7.55,4.34,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,G24,8,Solutrean,Chert,2,19.58,8,Medium,Half_Moon,Total,Aligned_Overlapped,11.66,4.21,Mixed_Marginal,Unifacial,Straight,>45,19.57,4,Low,Semi_Circular,Central,Isolated,3.13,2.13,Marginal,Bifacial,Irregular,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2293,G23,13,Gravettian,Chert,2,13.15,4,High,Semi_Circular,Central,Overlapped,15.08,8.97,Invasive,Bifacial,Irregular,Platform,16.1,11,High,Quadrangular,Total,Aligned,9.4,6.22,Mixed,Bifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid49,G25,4,Solutrean,Chert,2,10.81,14,High,Mixed,Total,Overlapped,13.45,7.43,Invasive,Bifacial,Irregular,Platform,6.5,1,Low,Triangular,Central,Isolated,9.33,9.33,Invasive,Unifacial,Pointed,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,H21,5,Solutrean,Chert,2,16.58,2,Medium,Triangular,Central,Overlapped,12.43,9.83,Invasive,Unifacial,Oblique,<45,15.83,4,Medium,Mixed,Total,Aligned_Overlapped,12.71,9.28,Invasive,Bifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2757,G24,9,Proto-Solutrean,Chert,2,22.43,20,High,Mixed,Total,Aligned_Overlapped,17.14,7.37,Invasive,Bifacial,Irregular,>45,12.18,7,High,Mixed,Central,Overlapped,8.2,4.24,Mixed_Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2119,H22,11,Gravettian,Quartz,2,12.28,2,Medium,Trapezoidal,Total,Aligned,3.3,2.61,Marginal,Unifacial,Straight,>45,12.21,5,High,Irregular,Central,Aligned_Overlapped,5.49,5.48,Marginal,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,G21,3,Solutrean,Quartz,2,26.71,5,Medium,Half_Moon,Total,Aligned_Overlapped,11.75,6.41,Invasive,Unifacial,Oblique,>45,27.05,5,Medium,Semi_Circular,Total,Aligned,6.34,3.9,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2228,G22,12,Gravettian,Quartz,2,7.4,2,Medium,Quadrangular,Central,Overlapped,6.02,5.24,Invasive,Unifacial,Irregular,Platform,12.16,1,Low,Quadrangular,Lateral_Central,Isolated,3.94,3.94,Marginal,Unifacial,Straight,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2275,H24,6,Solutrean,Quartz,2,15.61,2,Medium,Semi_Circular,Central,Aligned,4.48,4.48,Marginal,Unifacial,Straight,>45,9.19,3,Low,Semi_Circular,Central,Overlapped,8,4.3,Invasive,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2346,G24,16,Gravettian,Quartz,2,11.86,2,High,Irregular,Central,Isolated,3.81,3.8,Marginal,Bifacial,Pointed,Platform,17.76,1,Low,Trapezoidal,Central,Isolated,3.32,3.32,Marginal,Unifacial,Convex,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2394,H22,13,Gravettian,Quartz,2,12.68,2,Medium,Quadrangular,Lateral_Central,Aligned,6.47,4.72,Invasive,Unifacial,Straight,>45,13.61,1,Low,Half_Moon,Lateral_Central,Isolated,4.28,4.28,Marginal,Unifacial,Convex,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2423,H22,14,Gravettian,Quartz,2,11.84,3,Medium,Quadrangular,Total,Aligned_Overlapped,5.9,2.94,Mixed_Marginal,Unifacial,Oblique,>45,8.6,2,Medium,Irregular,Central,Isolated,3.28,3.28,Marginal,Bifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2433,H23,11,Gravettian,Quartz,2,7.11,2,High,Half_Moon,Total,Overlapped,5.47,3.49,Mixed_Marginal,Unifacial,Pointed,>45,3,1,Low,Half_Moon,Central,Isolated,2.44,2.44,Marginal,Unifacial,Pointed,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438,G24,17,Gravettian,Quartz,2,8.73,2,Medium,Half_Moon,Lateral_Central,Isolated,4.03,4.03,Marginal,Unifacial,Straight,>45,11.3,1,Low,Half_Moon,Central,Isolated,4.22,4.22,Marginal,Bifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,ZZ26,2,Solutrean,Chalcedony,3,15.9,1,Medium,Irregular,Central,Isolated,4.5,4.5,Marginal,Unifacial,Convex,Platform,18.18,2,Medium,Half_Moon,Lateral_Central,Overlapped,6.44,6.4,Marginal,Bifacial,Oblique,Platform,18.60,1,Medium,Half_Moon,Central,Isolated,3.13,3.13,Marginal,Unifacial,Concave,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438,G24,17,Gravettian,Quartz,2,12.35,2,Medium,Triangular,Central,Aligned,6.53,6.53,Mixed_Invasive,Unifacial,Straight,>45,12.52,3,Low,Half_Moon,Total,Isolated,2.08,2.08,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2459,ZZ27,7,Solutrean,Quartz,2,16.58,2,Low,Semi_Circular,Central,Overlapped,4.52,4.5,Marginal,Unifacial,Oblique,>45,17.26,1,Medium,Half_Moon,Central,Isolated,5.02,5,Invasive,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2478,H24,6,Solutrean,Quartz,2,10.96,5,High,Semi_Circular,Central,Aligned_Overlapped,3.07,3.07,Marginal,Bifacial,Oblique,Platform,7.97,4,Medium,Triangular,Total,Isolated,7.36,2.96,Mixed_Marginal,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2593,H24,29,Gravettian,Quartz,2,11.16,3,High,Mixed,Total,Aligned,5.95,2.35,Marginal,Bifacial,Straight,<45,11.66,2,High,Irregular,Total,Overlapped,4.07,4.07,Invasive,Bifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2606,G23,14,Gravettian,Quartz,2,9.27,2,Medium,Irregular,Central,Isolated,4.31,4.31,Marginal,Unifacial,Pointed,>45,16.29,1,High,Irregular,Central,Isolated,6.31,6.31,Marginal,Bifacial,Pointed,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,G24,17,Gravettian,Quartz,2,9.4,2,High,Semi_Circular,Central,Overlapped,5.29,5.29,Marginal,Unifacial,Straight,Platform,12.94,3,Medium,Semi_Circular,Lateral_Central,Aligned,4.6,7.6,Invasive,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,G24,17,Gravettian,Quartz,2,11.8,3,Medium,Semi_Circular,Total,Aligned,6.62,4.85,Invasive,Unifacial,Straight,<45,12,1,Low,Half_Moon,Central,Isolated,3.25,3.25,Marginal,Unifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,G24,17,Gravettian,Quartz,2,14.91,2,High,Irregular,Central,Isolated,4.51,4.51,Marginal,Unifacial,Straight,Platform,15.38,1,Low,Half_Moon,Central,Isolated,6.7,6.7,Marginal,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,G24,2,Magdalenian,Chert,1,19.5,8,NA,Half_Moon,Total,Aligned,6.71,4.81,Mixed_Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760,H24,7,Solutrean,Quartz,2,9.97,1,Low,Triangular,Central,Isolated,2.96,2.96,Marginal,Unifacial,Oblique,>45,7.52,1,Low,Triangular,Central,Isolated,4.44,4.44,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid43,G25,7,Solutrean,Chert,2,13.32,2,Medium,Semi_Circular,Lateral_Central,Isolated,5.22,4.37,Mixed_Marginal,Unifacial,Concave,>45,14.33,8,Medium,Mixed,Total,Aligned_Overlapped,8.84,526,Mixed_Invasive,Bifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2922,H24,7,Solutrean,Quartz,1,17.86,7,NA,Half_Moon,Central,Overlapped,6.68,3.04,Mixed_Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,G21,4,Solutrean,Quartz,2,18.05,3,Medium,Semi_Circular,Lateral_Central,Overlapped,10.2,6.49,Invasive,Unifacial,Straight,>45,23.44,4,High,Mixed,Lateral_Central,Overlapped,7.95,7.9,Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3022,G24,19,Gravettian,Quartz,2,13.53,4,High,Half_Moon,Central,Overlapped,5.61,3.5,Mixed_Marginal,Unifacial,Oblique,>45,14.57,6,Medium,Mixed,Total,Aligned,6.68,3.59,Mixed_Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3086,H23,14,Gravettian,Quartz,2,20.39,1,Low,Quadrangular,Lateral_Central,Isolated,9.13,9.13,Invasive,Unifacial,Oblique,>45,19.62,3,Medium,Semi_Circular,Central,Aligned,6.67,5.04,Mixed_Marginal,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid25,G25,6,Solutrean,Chert,2,10.25,3,Low,Mixed,Central,Overlapped,7.51,3.78,Invasive,Bifacial,Irregular,<45,6.82,1,Low,Quadrangular,Central,Isolated,8.21,8.2,Invasive,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3094,G24,19,Gravettian,Quartz,2,9.26,1,Low,Irregular,Central,Isolated,5.89,5.89,Invasive,Unifacial,Pointed,>45,6.66,1,Low,Triangular,Central,Isolated,8.42,5.42,Invasive,Unifacial,Pointed,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,ZZ25,11,Gravettian,Quartz,2,15.52,1,High,Irregular,Central,Isolated,2.5,2.5,Marginal,Unifacial,Concave,>45,12.81,2,Low,Triangular,Lateral_Central,Isolated,5.53,5.53,Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,H24,8,Solutrean,Quartz,2,10.77,3,Medium,Irregular,Central,Isolated,7.3,7.3,Marginal,Bifacial,Pointed,>45,11.1,2,Medium,Irregular,Central,Overlapped,8.44,5.22,Mixed_Invasive,Unifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3129,H23,14,Gravettian,Quartz,2,12.43,2,Medium,Semi_Circular,Total,Aligned,6.83,6.82,Invasive,Unifacial,Straight,>45,9.7,2,High,Irregular,Total,Aligned_Overlapped,7.35,7.35,Invasive,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3171,H24,8,Solutrean,Quartz,2,14.38,2,Low,Triangular,Central,Aligned,5.46,5.46,Marginal,Unifacial,Concave,>45,12.5,1,Medium,Trapezoidal,Lateral_Central,Isolated,4.5,4.5,Marginal,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3179,H23,15,Gravettian,Quartz,2,6.98,1,Medium,Irregular,Lateral_Central,Isolated,2.88,2.8,Marginal,Bifacial,Oblique,Platform,20.98,3,High,Semi_Circular,Total,Aligned,5.9,3.59,Mixed_Invasive,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3196,H24,8,Solutrean,Quartz,2,26.61,12,High,Mixed,Total,Aligned,6.48,3.43,Mixed_Marginal,Bifacial,Straight,Platform,20.85,2,Medium,Semi_Circular,Lateral_Central,Aligned,7.38,7.38,Invasive,Unifacial,Concave,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3264,H23,16,Gravettian,Quartz,2,11.2,2,Medium,Triangular,Total,Overlapped,5.87,3.48,Invasive,Unifacial,Straight,>45,9.97,2,Medium,Mixed,Total,Overlapped,4.16,2.64,Marginal,Unifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3022,G24,19,Gravettian,Chert,2,13.75,10,Medium,Half_Moon,Lateral_Central,Overlapped,4.26,4.11,Marginal,Unifacial,Straight,Platform,7.11,1,Low,Triangular,Central,Isolated,3.3,3.3,Marginal,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid31,G24,19,Gravettian,Chert,2,9.42,2,Low,Semi_Circular,Lateral_Central,Overlapped,6.85,3.02,Mixed_Marginal,Bifacial,Concave,>45,11.33,8,High,Half_Moon,Central,Overlapped,2.8,2.8,Marginal,Unifacial,Oblique,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3268,H23,16,Gravettian,Quartz,2,8.57,1,Medium,Triangular,Central,Isolated,10.57,10.57,Invasive,Unifacial,Pointed,>45,15.82,4,Medium,Mixed,Total,Aligned,5.05,5,Marginal,Bifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3268,H23,16,Gravettian,Quartz,2,14.42,3,Medium,Mixed,Lateral_Central,Aligned,6.38,6.3,Marginal,Unifacial,Irregular,>45,13.77,3,Medium,Quadrangular,Lateral_Central,Aligned,4.03,4.03,Marginal,Bifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3274,ZZ26,9,Gravettian,Quartz,2,24.36,2,High,Mixed,Central,Overlapped,5.6,5.6,Marginal,Bifacial,Oblique,>45,24.84,3,Medium,Half_Moon,Central,Aligned,5.2,5.2,Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3306,H23,16,Gravettian,Quartz,2,17.79,4,Medium,Quadrangular,Total,Aligned,8.13,813,Mixed,Bifacial,Straight,>45,16.7,1,High,Quadrangular,Total,Isolated,10.53,6.52,Invasive,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3383,H24,8,Solutrean,Quartz,2,9.24,2,Low,Irregular,Central,Isolated,7.04,7,Marginal,Unifacial,Pointed,>45,10.75,1,Medium,Quadrangular,Lateral_Central,Isolated,9.26,9.26,Invasive,Unifacial,Oblique,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid33,G24,3,Solutrean,Chert,1,13.32,7,Low,Triangular,Total,Aligned,5.84,3.46,Marginal,Bifacial,Straight,<45,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3494,H24,8,Solutrean,Quartz,2,13.5,5,Medium,Mixed,Total,Overlapped,11.33,5.63,Mixed_Invasive,Bifacial,Pointed,>45,6.51,1,Low,Triangular,Central,Isolated,4.91,4.91,Marginal,Unifacial,Straight,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,H24,22,Gravettian,Quartz,2,12.69,4,Medium,Mixed,Lateral_Central,Aligned,3.54,3.2,Marginal,Unifacial,Concave,>45,8.79,3,Low,Trapezoidal,Lateral_Central,Overlapped,2.54,2.5,Marginal,Unifacial,Oblique,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3579,ZZ,27,Gravettian,Quartz,2,16.87,1,Medium,Half_Moon,Central,Isolated,4.97,4.97,Marginal,Bifacial,Concave,Platform,14.9,2,Medium,Quadrangular,Lateral_Central,Isolated,7.81,7.81,Invasive,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,G24,4,Solutrean,Chalcedony,2,15,11,High,Mixed,Total,Aligned_Overlapped,16.31,5.49,Mixed_Marginal,Bifacial,Straight,<45,14.12,3,Low,Semi_Circular,Central,Isolated,4.64,4.1,Marginal,Bifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3726,H24,9,Proto-Solutrean,Quartz,2,13.72,2,High,Irregular,Central,Aligned,4.26,4.26,Marginal,Unifacial,Oblique,>45,10.14,1,Low,Quadrangular,Central,Isolated,6.85,6.85,Invasive,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
